gain	19	1	-76.19
gain	1	20	-80.53
gain	20	1	-79.59
gain	1	21	-86.49
gain	21	1	-82.06
gain	1	22	-84.56
gain	22	1	-79.02
gain	1	23	-72.28
gain	23	1	-73.05
gain	1	24	-70.08
gain	24	1	-68.67
gain	1	25	-94.61
gain	25	1	-90.14
gain	1	26	-93.22
gain	26	1	-88.70
gain	1	27	-80.38
gain	27	1	-72.90
gain	1	28	-79.31
gain	28	1	-76.78
gain	1	29	-89.35
gain	29	1	-85.03
gain	1	30	-55.91
gain	30	1	-51.14
gain	1	31	-86.38
gain	31	1	-82.50
gain	1	32	-85.27
gain	32	1	-79.39
gain	1	33	-70.53
gain	33	1	-65.94
gain	1	34	-70.23
gain	34	1	-66.66
gain	1	35	-89.95
gain	35	1	-80.05
gain	1	36	-81.96
gain	36	1	-80.61
gain	1	37	-89.85
gain	37	1	-85.01
gain	1	38	-86.03
gain	38	1	-85.22
gain	1	39	-89.05
gain	39	1	-82.95
gain	1	40	-83.12
gain	40	1	-79.16
gain	1	41	-81.32
gain	41	1	-77.23
gain	1	42	-86.75
gain	42	1	-84.78
gain	1	43	-80.62
gain	43	1	-79.39
gain	1	44	-79.45
gain	44	1	-78.48
gain	1	45	-83.75
gain	45	1	-77.47
gain	1	46	-86.56
gain	46	1	-84.32
gain	1	47	-78.11
gain	47	1	-73.82
gain	1	48	-70.40
gain	48	1	-63.67
gain	1	49	-76.89
gain	49	1	-77.77
gain	1	50	-86.82
gain	50	1	-84.32
gain	1	51	-89.35
gain	51	1	-85.65
gain	1	52	-81.58
gain	52	1	-79.50
gain	1	53	-87.45
gain	53	1	-84.45
gain	1	54	-62.21
gain	54	1	-61.76
gain	1	55	-78.27
gain	55	1	-75.26
gain	1	56	-84.05
gain	56	1	-79.23
gain	1	57	-85.20
gain	57	1	-81.72
gain	1	58	-85.53
gain	58	1	-82.46
gain	1	59	-83.55
gain	59	1	-83.67
gain	1	60	-89.95
gain	60	1	-88.57
gain	1	61	-78.76
gain	61	1	-73.31
gain	1	62	-85.85
gain	62	1	-84.50
gain	1	63	-79.00
gain	63	1	-73.52
gain	1	64	-84.85
gain	64	1	-80.04
gain	1	65	-85.49
gain	65	1	-85.06
gain	1	66	-85.59
gain	66	1	-83.13
gain	1	67	-84.60
gain	67	1	-83.30
gain	1	68	-84.67
gain	68	1	-83.75
gain	1	69	-89.73
gain	69	1	-86.56
gain	1	70	-82.95
gain	70	1	-81.81
gain	1	71	-74.51
gain	71	1	-72.68
gain	1	72	-83.97
gain	72	1	-79.44
gain	1	73	-55.56
gain	73	1	-50.26
gain	1	74	-84.94
gain	74	1	-81.61
gain	1	75	-87.33
gain	75	1	-82.08
gain	1	76	-88.16
gain	76	1	-84.78
gain	1	77	-83.57
gain	77	1	-82.28
gain	1	78	-79.34
gain	78	1	-75.51
gain	1	79	-87.09
gain	79	1	-83.11
gain	1	80	-83.53
gain	80	1	-78.86
gain	1	81	-80.81
gain	81	1	-78.68
gain	1	82	-81.80
gain	82	1	-77.39
gain	1	83	-75.76
gain	83	1	-74.19
gain	1	84	-86.42
gain	84	1	-83.94
gain	1	85	-80.26
gain	85	1	-82.40
gain	1	86	-75.32
gain	86	1	-67.03
gain	1	87	-45.17
gain	87	1	-41.04
gain	1	88	-90.62
gain	88	1	-88.03
gain	1	89	-75.81
gain	89	1	-72.40
gain	1	90	-87.61
gain	90	1	-84.88
gain	1	91	-82.93
gain	91	1	-81.07
gain	1	92	-80.01
gain	92	1	-72.99
gain	1	93	-91.07
gain	93	1	-90.84
gain	1	94	-82.52
gain	94	1	-77.58
gain	1	95	-77.27
gain	95	1	-73.97
gain	1	96	-90.41
